S. No,Purpose ,Victims Recovered Alive - Child Victims - M,Victims Recovered Alive - Child Victims - F,Victims Recovered Alive - Child Victims - T,Victims Recovered Alive - Adult Victims - M,Victims Recovered Alive - Adult Victims - F,Victims Recovered Alive - Adult Victims - T,Victims Recovered Alive - Total Victims - M,Victims Recovered Alive - Total Victims - F,Victims Recovered Alive - Total Victims - T,Purpose-wise % Share of Victims
1,For Murder,0,1,1,6,3,9,6,4,10,0.1
2,For Ransom,7,18,25,81,5,86,88,23,111,0.7
3,For Revenge,1,6,7,87,1,88,88,7,95,0.6
4,For Marriage,2,504,506,11,871,882,13,1375,1388,9.1
5,For Illicit Intercourse,1,21,22,0,19,19,1,40,41,0.3
6,For Prostitution,0,37,37,0,4,4,0,41,41,0.3
7,For Adoption,3,2,5,0,0,0,3,2,5,0.0
8,For Begging,0,7,7,0,0,0,0,7,7,0.0
9,For Domestic Servitude,22,6,28,0,0,0,22,6,28,0.2
10,For Forced Labour/Slavery,0,0,0,1,0,1,1,0,1,0.0
12,For Recovery of Loans,1,0,1,48,5,53,49,5,54,0.4
13,Wrongful Confinement,30,77,107,52,17,69,82,94,176,1.2
14,For Unlawful Activity,88,166,254,4,2,6,92,168,260,1.7
14.1,Drug Pedling/Smuggling,0,0,0,0,0,0,0,0,0,0.0
14.2,Petty Crimes (Theft etc.),0,1,1,0,0,0,0,1,1,0.0
14.3,Pornography purpose,0,0,0,0,0,0,0,0,0,0.0
14.4,Terrorist Activities/Child Soldiers,0,0,0,0,0,0,0,0,0,0.0
14.5,For Selling Body Parts,0,0,0,0,0,0,0,0,0,0.0
14.6,Others,88,165,253,4,2,6,92,167,259,1.7
15,Deemed Kidnapped,2832,4694,7526,335,584,919,3167,5278,8445,55.6
15.1,Missing Deemed Kidnapped,1842,2942,4784,0,0,0,1842,2942,4784,31.5
15.2,Left Home by own will/ Scolding by parents,752,1102,1854,285,115,400,1037,1217,2254,14.8
15.3,Elopement/Love Relationship,238,650,888,50,469,519,288,1119,1407,9.3
16,Family Disputes,176,199,375,121,148,269,297,347,644,4.2
17,Land or Property/Civil Disputes,0,2,2,21,2,23,21,4,25,0.2
18,Other Motives/Purposes,1194,2070,3264,271,334,605,1465,2404,3869,25.5
19,Total Recovered Alive,4357,7810,12167,1038,1995,3033,5395,9805,15200,100.0
Victims Group-wise % Share,Victims Group-wise % Share,28.7,51.4,80.0,6.8,13.1,20.0,35.5,64.5,100.0,
