Category,State/UT ,Indian - Male,Indian - Female,Indian - Total ,Sri Lanka - Male,Sri Lanka - Female,Sri Lanka - Total ,Nepal - Male,Nepal - Female,Nepal - Total ,Bangladesh - Male,Bangladesh - Female,Bangladesh - Total ,Other - Male,Other - Female,Other - Total ,Total - Male,Total - Female,Total - Total 
State,Andhra Pradesh ,0,425,425,0,0,0,0,0,0,0,0,0,0,0,0,0,425,425
State,Arunachal Pradesh ,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
State,Assam  ,51,179,230,0,0,0,0,0,0,0,0,0,0,0,0,51,179,230
State,Bihar ,248,55,303,0,0,0,13,0,13,0,0,0,0,0,0,261,55,316
State,Chhattisgarh ,183,154,337,0,0,0,0,0,0,0,0,0,0,0,0,183,154,337
State,Goa ,0,84,84,0,0,0,0,0,0,0,1,1,0,5,5,0,90,90
State,Gujarat ,0,13,13,0,0,0,0,0,0,0,0,0,0,5,5,0,18,18
State,Haryana ,3,17,20,0,0,0,0,0,0,0,0,0,0,0,0,3,17,20
State,Himachal Pradesh ,0,14,14,0,0,0,0,2,2,0,0,0,0,0,0,0,16,16
State,Jammu & Kashmir ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State,Jharkhand  ,47,116,163,0,0,0,0,0,0,0,0,0,0,0,0,47,116,163
State,Karnataka ,4,110,114,0,0,0,9,1,10,31,27,58,0,4,4,44,142,186
State,Kerala ,29,186,215,0,0,0,0,0,0,0,0,0,0,0,0,29,186,215
State,Madhya Pradesh ,47,170,217,0,0,0,0,0,0,0,0,0,0,0,0,47,170,217
State,Maharashtra ,42,907,949,0,0,0,0,8,8,0,32,32,0,31,31,42,978,1020
State,Manipur ,1,2,3,0,0,0,33,152,185,0,0,0,0,0,0,34,154,188
State,Meghalaya ,0,29,29,0,0,0,0,0,0,0,0,0,0,0,0,0,29,29
State,Mizoram ,5,49,54,0,0,0,0,0,0,0,0,0,0,0,0,5,49,54
State,Nagaland ,0,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20
State,Odisha ,518,358,876,0,0,0,0,0,0,0,0,0,0,0,0,518,358,876
State,Punjab ,11,16,27,0,0,0,0,0,0,0,0,0,0,0,0,11,16,27
State,Rajasthan ,640,22,662,0,0,0,1,1,2,0,0,0,0,0,0,641,23,664
State,Sikkim ,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
State,Tamil Nadu ,38,36,74,0,0,0,0,0,0,1,1,2,0,0,0,39,37,76
State,Telangana ,1,327,328,0,0,0,0,0,0,0,5,5,0,1,1,1,333,334
State,Tripura ,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
State,Uttar Pradesh ,19,118,137,0,0,0,0,0,0,0,0,0,0,0,0,19,118,137
State,Uttarakhand ,5,30,35,0,0,0,0,1,1,0,0,0,0,0,0,5,31,36
State,West Bengal ,29,225,254,0,0,0,0,0,0,0,0,0,0,0,0,29,225,254
State,TOTAL STATE(S) ,1921,3670,5591,0,0,0,56,165,221,32,66,98,0,46,46,2009,3947,5956
UT,A & N Islands ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UT,Chandigarh ,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
UT,D & N Haveli ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UT,Daman & Diu ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UT,Delhi UT ,497,103,600,0,0,0,7,0,7,0,0,0,0,1,1,504,104,608
UT,Lakshadweep ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UT,Puducherry ,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5
UT,TOTAL UT(S) ,497,110,607,0,0,0,7,0,7,0,0,0,0,1,1,504,111,615
Grand Total,TOTAL (ALL INDIA) ,2418,3780,6198,0,0,0,63,165,228,32,66,98,0,47,47,2513,4058,6571
