Si. No (Col. 1),Category,State/UT (Col. 2),Indian - Male - (Col. 3),Indian - Female - (Col. 4),Indian - Total - (Col. 5),Sri Lanka - Male - (Col. 6),Sri Lanka - Female - (Col. 7),Sri Lanka - Total - (Col. 8),Nepal - Male - (Col. 9),Nepal - Female - (Col. 10),Nepal - Total - (Col. 11),Bangladesh - Male - (Col. 12),Bangladesh - Female - (Col. 13),Bangladesh - Total - (Col. 14),Others - Male - (Col. 15),Others - Female - (Col. 16),Others - Total - (Col. 17),Total - Male - (Col. 18),Total - Female - (Col. 19) ,Total - Total - (Col. 20)
1,State,Andhra Pradesh,8,249,257,0,0,0,0,0,0,0,0,0,0,0,0,8,249,257
2,State,Arunachal Pradesh,3,10,13,0,0,0,0,0,0,0,0,0,0,0,0,3,10,13
3,State,Assam,8,149,157,0,0,0,0,0,0,0,0,0,0,0,0,8,149,157
4,State,Bihar,77,101,178,0,0,0,0,1,1,0,0,0,0,0,0,77,102,179
5,State,Chhattisgarh,57,39,96,0,0,0,0,0,0,0,0,0,0,0,0,57,39,96
6,State,Goa,0,28,28,0,0,0,0,1,1,0,0,0,0,1,1,0,30,30
7,State,Gujarat,75,11,86,0,0,0,0,0,0,0,1,1,0,0,0,75,12,87
8,State,Haryana,2,12,14,0,0,0,0,0,0,0,0,0,0,4,4,2,16,18
9,State,Himachal Pradesh,2,11,13,0,0,0,0,0,0,0,0,0,0,0,0,2,11,13
10,State,Jharkhand,48,230,278,0,0,0,0,0,0,0,0,0,0,0,0,48,230,278
11,State,Karnataka,8,31,39,0,0,0,0,0,0,0,0,0,0,0,0,8,31,39
12,State,Kerala,31,165,196,0,0,0,0,0,0,0,0,0,0,0,0,31,165,196
13,State,Madhya Pradesh,13,99,112,0,0,0,0,1,1,0,0,0,0,0,0,13,100,113
14,State,Maharashtra,6,521,527,0,0,0,0,4,4,0,16,16,0,10,10,6,551,557
15,State,Manipur,2,2,4,0,0,0,0,5,5,0,0,0,0,0,0,2,7,9
16,State,Meghalaya,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
17,State,Mizoram,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,State,Nagaland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,State,Odisha,484,280,764,0,0,0,0,0,0,0,0,0,0,0,0,484,280,764
20,State,Punjab,61,11,72,0,0,0,0,0,0,0,0,0,0,9,9,61,20,81
21,State,Rajasthan,762,56,818,0,0,0,0,0,0,0,0,0,0,0,0,762,56,818
22,State,Sikkim,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4
23,State,Tamil Nadu,15,21,36,0,0,0,0,0,0,0,0,0,0,0,0,15,21,36
24,State,Telangana,37,395,432,0,0,0,0,0,0,0,6,6,0,0,0,37,401,438
25,State,Tripura,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
26,State,Uttar Pradesh,0,174,174,0,0,0,0,0,0,0,0,0,0,0,0,0,174,174
27,State,Uttarakhand,0,12,12,0,0,0,0,1,1,0,0,0,0,0,0,0,13,13
28,State,West Bengal,8,67,75,0,0,0,0,0,0,0,0,0,0,0,0,8,67,75
Total State(s),Total State(s),Total State(s),1708,2681,4389,0,0,0,0,13,13,0,23,23,0,24,24,1708,2741,4449
29,Union Territories,A & N Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,Union Territories,Chandigarh,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3
31,Union Territories,D & N Haveli and Daman & Diu,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,2,2
32,Union Territories,Delhi,186,31,217,0,0,0,7,0,7,0,0,0,0,0,0,193,31,224
33,Union Territories,Jammu & Kashmir,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
34,Union Territories,Ladakh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,Union Territories,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,Union Territories,Puducherry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Total UT(s),Total UT(s),Total UT(s),188,35,223,0,0,0,7,0,7,0,1,1,0,0,0,195,36,231
Total All India,Total All India,Total All India,1896,2716,4612,0,0,0,7,13,20,0,24,24,0,24,24,1903,2777,4680
