Si. No (Col. 1),Category ,State/UT (Col. 2),Punishment for Rape (Sec.376 & 376(I) - (Col. 3),Rape in Custody (Section 376 (2)) - Rape in Custody (Total) - (Col. 4),Rape in Custody (Section 376 (2)) - By Police Personnel (Sec.376(2) (a) - (Col. 5),Rape in Custody (Section 376 (2)) - By Public Servant (Sec.376(2) (b) - (Col. 6),Rape in Custody (Section 376 (2)) - By Member of Armed Forces (Sec.376(2) (c) - (Col. 7),Rape in Custody (Section 376 (2)) - By Management/Staff of Jail/Remand Home/Place of Custody (Sec.376(2)(d) - (Col. 8),Rape in Custody (Section 376 (2)) - By Management/ Staff of Hospital (Sec.376(2)e) - (Col. 9),Other Than Custodial Rape (Section 376(2)) - Rape Other than Custodial (Total) - (Col. 10),Other Than Custodial Rape (Section 376(2)) - By Relative/ Guardian / Teacher/ Person in position of trust (Sec.376(2) (f) - (Col. 11),Other Than Custodial Rape (Section 376(2)) - On Pregnant Women (Sec.376(2)(h) - (Col. 12),Other Than Custodial Rape (Section 376(2)) - On Women Below 16 years of age (Sec.376(2) (i) - (Col. 13),Other Than Custodial Rape (Section 376(2)) - On Women Incapable of giving Consent (Sec.376(2) (j) - (Col. 14),Other Than Custodial Rape (Section 376(2)) - By Persons in Control or Dominance over women (Sec.376(2) (k) - (Col. 15),Other Than Custodial Rape (Section 376(2)) - On Women with Mental or Physical disability (Sec.376(2)(l) - (Col. 16),Other Than Custodial Rape (Section 376(2)) - Endanger life of Women after Rape (Sec.376(2)(m) - (Col. 17),Other Than Custodial Rape (Section 376(2)) - Repeated Rape on same women (Sec.376(2)(n) - (Col. 18),Other Than Custodial Rape (Section 376(2)) - Other Custodial Rapes - (Col. 19),Punishment upto 20 years extended to life for Rape (Below 16 Yrs) (Sec.376(3)) - (Col. 20),Punishment for causing Death (Sec.376(A)) - (Col. 21),By Separated husband (Sec.376 (B)) - (Col. 22),Rape/Gang Rape of Girl Below 16 Yrs (Imprisonment for life till death) (Sec.376(DA)) - (Col. 23),By Person in Authority (Sec.376 (C)) - (Col. 24),Gang Rape (Sec.376(D)) - (Col. 25),Rape/Gang Rape of Girl Below 16 Yrs (Imprisonment for life till death) (Sec.376(DA)) - (Col. 26),Rape/Gang Rape of Girl Below 12 Yrs (Imprisonment for life till death) (Sec.376(DB)) - (Col. 27),Punishment for Repeat offenders (Sec.376(E)) - (Col. 28),Rape (Total) (Sec.376 IPC) - (Col. 29)
1,State,Andhra Pradesh,671,4,2,1,0,0,1,307,22,0,73,4,0,7,2,139,60,51,5,1,33,3,17,3,0,0,1095
2,State,Arunachal Pradesh,42,0,0,0,0,0,0,18,8,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60
3,State,Assam,1500,0,0,0,0,0,0,87,35,0,0,1,27,2,0,0,22,0,0,3,0,0,19,0,0,48,1657
4,State,Bihar,789,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,806
5,State,Chhattisgarh,772,0,0,0,0,0,0,421,296,0,12,2,0,3,0,85,23,0,0,0,0,0,16,1,0,0,1210
6,State,Goa,50,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,6,0,0,2,0,0,0,0,0,60
7,State,Gujarat,337,1,0,0,0,0,1,129,9,1,0,3,0,1,3,112,0,0,0,1,0,0,18,0,0,0,486
8,State,Haryana,545,3,1,1,0,0,1,604,8,2,0,0,2,3,0,452,137,0,1,7,0,1,163,0,0,49,1373
9,State,Himachal Pradesh,243,0,0,0,0,0,0,71,34,0,34,0,0,1,0,2,0,2,0,0,9,0,4,2,0,0,331
10,State,Jharkhand,1167,0,0,0,0,0,0,100,56,0,34,0,0,0,0,10,0,0,0,0,0,0,54,0,0,0,1321
11,State,Karnataka,427,2,1,0,0,1,0,65,27,0,0,0,2,0,0,22,14,0,0,0,0,1,8,0,0,1,504
12,State,Kerala,372,1,0,1,0,0,0,248,26,10,0,1,0,12,0,147,52,3,0,1,0,0,12,0,0,0,637
13,State,Madhya Pradesh,798,8,3,1,0,2,2,1222,156,8,0,19,23,7,2,832,175,0,2,4,0,3,155,0,9,138,2339
14,State,Maharashtra,1226,0,0,0,0,0,0,768,55,8,0,9,2,26,6,599,63,0,0,7,0,2,58,0,0,0,2061
15,State,Manipur,27,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,32
16,State,Meghalaya,54,4,0,4,0,0,0,4,1,0,1,0,0,1,1,0,0,0,0,0,0,0,5,0,0,0,67
17,State,Mizoram,6,0,0,0,0,0,0,12,2,0,0,2,0,7,0,0,1,13,0,0,1,0,1,0,0,0,33
18,State,Nagaland,2,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
19,State,Odisha,756,0,0,0,0,0,0,435,341,0,0,0,0,2,0,92,0,1,1,1,2,0,15,0,0,0,1211
20,State,Punjab,463,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,35,0,0,0,502
21,State,Rajasthan,3390,0,0,0,0,0,0,903,240,1,80,173,58,9,3,228,111,18,0,1,16,0,941,32,9,0,5310
22,State,Sikkim,10,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
23,State,Tamil Nadu,359,0,0,0,0,0,0,28,11,0,0,3,5,3,3,2,1,0,0,0,0,0,2,0,0,0,389
24,State,Telangana,538,0,0,0,0,0,0,216,9,8,0,27,0,1,2,121,48,0,0,0,0,0,10,0,0,0,764
25,State,Tripura,70,0,0,0,0,0,0,7,0,0,0,0,0,2,0,5,0,0,0,0,0,0,2,0,0,0,79
26,State,Uttar Pradesh,2423,4,0,1,0,3,0,62,1,0,0,0,0,0,0,0,61,2,0,0,4,0,271,1,1,1,2769
27,State,Uttarakhand,480,1,0,0,0,1,0,6,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,487
28,State,West Bengal,952,0,0,0,0,0,0,100,3,1,0,0,0,5,2,6,83,0,0,3,0,0,73,0,0,0,1128
Total State(s),Total State(s),Total State(s),18469,29,7,9,0,7,6,5835,1362,39,244,244,119,93,24,2858,852,96,9,29,67,10,1886,40,19,238,26727
29,Union Territories,A & N Islands,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
30,Union Territories,Chandigarh,29,0,0,0,0,0,0,17,2,0,0,0,0,0,0,9,6,11,0,0,2,0,1,0,0,0,60
31,Union Territories,D & N Haveli and Daman & Diu,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
32,Union Territories,Delhi,929,0,0,0,0,0,0,18,3,0,0,0,0,0,0,12,3,0,1,3,0,0,46,0,0,0,997
33,Union Territories,Jammu & Kashmir,185,0,0,0,0,0,0,58,43,0,0,0,0,1,0,0,14,0,0,0,0,0,0,0,0,0,243
34,Union Territories,Ladakh,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
35,Union Territories,Lakshadweep,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
36,Union Territories,Puducherry,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
Total UT(s),Total UT(s),Total UT(s),1162,0,0,0,0,0,0,93,48,0,0,0,0,1,0,21,23,11,1,3,2,0,47,0,0,0,1319
Total All India,Total All India,Total All India,19631,29,7,9,0,7,6,5928,1410,39,244,244,119,94,24,2879,875,107,10,32,69,10,1933,40,19,238,28046
