Si. No (Col. 1),Category ,State/UT (Col. 2),Persons Arrested - Male - (Col. 3),Persons Arrested - Female - (Col. 4),Persons Arrested - Total - (Col. 5),Persons Chargesheeted - Male - (Col. 6),Persons Chargesheeted - Female - (Col. 7),Persons Chargesheeted - Total - (Col. 8),Persons Convicted - Male - (Col. 9),Persons Convicted - Female - (Col. 10),Persons Convicted - Total - (Col. 11),Persons Discharged - Male - (Col. 12),Persons Discharged - Female - (Col. 13),Persons Discharged - Total - (Col. 14),Persons Acquitted - Male - (Col. 15),Persons Acquitted - Female - (Col. 16),Persons Acquitted - Total - (Col. 17)
1,State,Andhra Pradesh,15150,3826,18976,23738,6573,30311,440,66,506,789,13,802,6626,1497,8123
2,State,Arunachal Pradesh,292,20,312,266,22,288,1,0,1,3,0,3,1,0,1
3,State,Assam,32742,795,33537,18875,140,19015,149,0,149,21,0,21,4766,35,4801
4,State,Bihar,11967,1048,13015,12289,1215,13504,247,9,256,0,0,0,366,53,419
5,State,Chhattisgarh,8629,751,9380,8131,685,8816,1037,45,1082,391,26,417,1560,104,1664
6,State,Goa,215,12,227,225,24,249,15,6,21,8,2,10,80,4,84
7,State,Gujarat,11093,3246,14339,12684,4230,16914,77,15,92,4,0,4,1920,629,2549
8,State,Haryana,10384,1096,11480,10097,1046,11143,231,4,235,2,1,3,1184,130,1314
9,State,Himachal Pradesh,1289,258,1547,1780,427,2207,59,4,63,0,0,0,300,48,348
10,State,Jharkhand,7120,480,7600,6753,407,7160,1037,44,1081,49,0,49,994,117,1111
11,State,Karnataka,17005,4657,21662,17207,4598,21805,220,21,241,265,0,265,4950,990,5940
12,State,Kerala,10618,677,11295,12368,777,13145,1542,7,1549,224,3,227,6359,171,6530
13,State,Madhya Pradesh,25693,3185,28878,32043,6330,38373,2526,209,2735,1287,105,1392,4241,504,4745
14,State,Maharashtra,34147,4528,38675,39331,8233,47564,832,56,888,71,15,86,6948,1429,8377
15,State,Manipur,224,4,228,114,0,114,3,0,3,0,0,0,7,0,7
16,State,Meghalaya,516,8,524,434,12,446,70,0,70,29,0,29,43,0,43
17,State,Mizoram,178,2,180,171,2,173,76,0,76,2,0,2,21,0,21
18,State,Nagaland,46,5,51,27,3,30,13,0,13,2,0,2,1,0,1
19,State,Odisha,12763,974,13737,28229,2580,30809,156,1,157,0,0,0,2076,178,2254
20,State,Punjab,5011,929,5940,4252,611,4863,278,18,296,21,2,23,859,126,985
21,State,Rajasthan,21677,1619,23296,24488,1719,26207,4679,127,4806,1434,105,1539,4282,333,4615
22,State,Sikkim,144,1,145,116,1,117,11,0,11,5,0,5,19,0,19
23,State,Tamil Nadu,8059,1124,9183,6082,807,6889,542,44,586,99,16,115,1933,334,2267
24,State,Telangana,13667,1340,15007,20779,3877,24656,952,27,979,0,0,0,3393,499,3892
25,State,Tripura,654,35,689,1229,207,1436,39,1,40,0,0,0,195,17,212
26,State,Uttar Pradesh,70912,8963,79875,84857,11292,96149,14059,549,14608,1250,60,1310,13586,970,14556
27,State,Uttarakhand,2030,60,2090,2471,185,2656,114,0,114,3,0,3,147,11,158
28,State,West Bengal,18973,1311,20284,41901,4250,46151,103,1,104,316,42,358,6694,846,7540
Total State(s),Total State(s),Total State(s),341198,40954,382152,410937,60253,471190,29508,1254,30762,6275,390,6665,73551,9025,82576
29,Union Territories,A & N Islands,139,2,141,157,10,167,16,2,18,7,0,7,42,7,49
30,Union Territories,Chandigarh,218,39,257,244,42,286,15,0,15,0,0,0,44,1,45
31,Union Territories,D & N Haveli and Daman & Diu,73,6,79,71,5,76,2,0,2,0,0,0,32,4,36
32,Union Territories,Delhi,10499,714,11213,10915,900,11815,468,17,485,99,33,132,511,46,557
33,Union Territories,Jammu & Kashmir,4181,367,4548,4043,358,4401,33,2,35,4,0,4,1127,77,1204
34,Union Territories,Ladakh,9,0,9,9,0,9,15,0,15,0,0,0,6,0,6
35,Union Territories,Lakshadweep,17,0,17,16,0,16,2,0,2,0,0,0,1,0,1
36,Union Territories,Puducherry,189,15,204,168,15,183,68,0,68,14,0,14,32,0,32
Total UT(s),Total UT(s),Total UT(s),15325,1143,16468,15623,1330,16953,619,21,640,124,33,157,1795,135,1930
Total All India,Total All India,Total All India,356523,42097,398620,426560,61583,488143,30127,1275,31402,6399,423,6822,75346,9160,84506
