Si. No (Col. 1) ,Category ,State/UT (Col. 2),Total number of Cases Reported - (Col. 3),Disposal by Police - Cases Charge-sheeted - (Col. 4),Disposal by Police - Final Report - (Col. 5),Disposal by Police - Charge-sheeted Rate (Col.4/Col.4+ Col.5) X 100 - (Col. 6),Disposal by Court - Cases Convicted by court - (Col. 7),Disposal by Court - Cases Acquitted/ Discharged by court - (Col. 8),Disposal by Court - Cases in which Trials were Completed (Col.7 + Col.8) - (Col. 9),Disposal by Court - Cases Conviction rate (Col.7/ Col.9) X 100 - (Col. 10)
1,State,Andhra Pradesh,171,121,1,99.2,5,56,61,8.2
2,State,Arunachal Pradesh,2,1,0,100,0,0,0,NA
3,State,Assam,124,69,31,69,0,10,10,0
4,State,Bihar,75,57,4,93.4,0,0,0,NA
5,State,Chhattisgarh,38,24,7,77.4,0,2,2,0
6,State,Goa,17,20,1,95.2,0,2,2,0
7,State,Gujarat,13,10,1,90.9,0,0,0,NA
8,State,Haryana,14,8,4,66.7,0,0,0,NA
9,State,Himachal Pradesh,4,3,3,50,0,0,0,NA
10,State,Jharkhand,140,110,74,59.8,33,139,172,19.2
11,State,Karnataka,13,20,1,95.2,0,0,0,NA
12,State,Kerala,166,181,13,93.3,0,16,16,0
13,State,Madhya Pradesh,80,71,2,97.3,3,9,12,25
14,State,Maharashtra,184,167,1,99.4,0,5,5,0
15,State,Manipur,6,0,1,NA,0,0,0,NA
16,State,Meghalaya,1,0,1,NA,0,0,0,NA
17,State,Mizoram,0,0,0,NA,0,0,0,NA
18,State,Nagaland,0,1,0,100,0,0,0,NA
19,State,Odisha,103,58,10,85.3,0,8,8,0
20,State,Punjab,17,16,4,80,0,3,3,0
21,State,Rajasthan,128,113,2,98.3,0,0,0,NA
22,State,Sikkim,1,1,0,NA,0,0,0,NA
23,State,Tamil Nadu,11,2,0,100,2,1,3,66.7
24,State,Telangana,184,186,3,98.4,2,103,105,1.9
25,State,Tripura,1,2,0,100,0,0,0,NA
26,State,Uttar Pradesh,90,33,0,100,0,0,0,NA
27,State,Uttarakhand,9,13,2,86.7,1,4,5,20
28,State,West Bengal,59,81,60,57.4,1,53,54,1.9
Total State(s),Total State(s),Total State(s),1651,1368,226,85.8,47,411,458,10.3
29,Union Territories,A & N Islands,0,1,0,100,0,0,0,NA
30,Union Territories,Chandigarh,2,2,0,100,0,0,0,NA
31,Union Territories,D & N Haveli and Daman & Diu,2,2,0,100,0,0,0,NA
32,Union Territories,Delhi,53,27,13,67.5,2,3,5,40
33,Union Territories,Jammu & Kashmir,2,2,0,100,0,0,0,NA
34,Union Territories,Ladakh,0,0,0,NA,0,0,,NA
35,Union Territories,Lakshadweep,0,0,0,NA,0,0,0,NA
36,Union Territories,Puducherry,4,0,4,NA,0,0,0,NA
Total UT(s),Total UT(s),Total UT(s),63,34,17,66.7,2,3,5,40
Total All India,Total All India,Total All India,1714,1402,243,85.2,49,414,463,10.6
